UID         PID   PPID  C STIME TTY          TIME CMD
root          1      0  0 Jan01 ?        03:31:12 /usr/lib/systemd/systemd --switched-root --system --deserialize 21
root          2      0  0 Jan01 ?        00:00:45 [kthreadd]
root          3      2  0 Jan01 ?        00:14:26 [ksoftirqd/0]
root          5      2  0 Jan01 ?        00:00:00 [kworker/0:0H]
root          8      2  0 Jan01 ?        00:00:20 [migration/0]
root          9      2  0 Jan01 ?        00:00:00 [rcu_bh]
root         10      2  0 Jan01 ?        10:41:02 [rcu_sched]
root         11      2  0 Jan01 ?        00:00:57 [watchdog/0]
root         12      2  0 Jan01 ?        00:01:00 [watchdog/1]
root         13      2  0 Jan01 ?        00:00:32 [migration/1]
root         14      2  0 Jan01 ?        00:05:17 [ksoftirqd/1]
root         16      2  0 Jan01 ?        00:00:00 [kworker/1:0H]
root         18      2  0 Jan01 ?        00:00:52 [watchdog/2]
root         19      2  0 Jan01 ?        00:00:21 [migration/2]
root         20      2  0 Jan01 ?        00:15:06 [ksoftirqd/2]
root         22      2  0 Jan01 ?        00:00:00 [kworker/2:0H]
root         23      2  0 Jan01 ?        00:00:55 [watchdog/3]
root         24      2  0 Jan01 ?        00:00:21 [migration/3]
root         25      2  0 Jan01 ?        00:04:07 [ksoftirqd/3]
root         27      2  0 Jan01 ?        00:00:00 [kworker/3:0H]
root         28      2  0 Jan01 ?        00:00:52 [watchdog/4]
root         29      2  0 Jan01 ?        00:00:17 [migration/4]
root         30      2  0 Jan01 ?        00:09:15 [ksoftirqd/4]
root         32      2  0 Jan01 ?        00:00:00 [kworker/4:0H]
root         33      2  0 Jan01 ?        00:00:54 [watchdog/5]
root         34      2  0 Jan01 ?        00:00:22 [migration/5]
root         35      2  0 Jan01 ?        00:03:49 [ksoftirqd/5]
root         37      2  0 Jan01 ?        00:00:00 [kworker/5:0H]
root         38      2  0 Jan01 ?        00:00:52 [watchdog/6]
root         39      2  0 Jan01 ?        00:00:23 [migration/6]
root         40      2  0 Jan01 ?        00:06:11 [ksoftirqd/6]
root         42      2  0 Jan01 ?        00:00:00 [kworker/6:0H]
root         43      2  0 Jan01 ?        00:00:53 [watchdog/7]
root         44      2  0 Jan01 ?        00:00:27 [migration/7]
root         45      2  0 Jan01 ?        00:03:46 [ksoftirqd/7]
root         47      2  0 Jan01 ?        00:00:00 [kworker/7:0H]
root         48      2  0 Jan01 ?        00:00:51 [watchdog/8]
root         49      2  0 Jan01 ?        00:00:14 [migration/8]
root         50      2  0 Jan01 ?        00:02:00 [ksoftirqd/8]
root         52      2  0 Jan01 ?        00:00:00 [kworker/8:0H]
root         53      2  0 Jan01 ?        00:00:55 [watchdog/9]
root         54      2  0 Jan01 ?        00:00:17 [migration/9]
root         55      2  0 Jan01 ?        00:04:08 [ksoftirqd/9]
root         57      2  0 Jan01 ?        00:00:00 [kworker/9:0H]
root         58      2  0 Jan01 ?        00:00:50 [watchdog/10]
root         59      2  0 Jan01 ?        00:00:14 [migration/10]
root         60      2  0 Jan01 ?        00:05:22 [ksoftirqd/10]
root         62      2  0 Jan01 ?        00:00:00 [kworker/10:0H]
root         63      2  0 Jan01 ?        00:00:52 [watchdog/11]
root         64      2  0 Jan01 ?        00:00:25 [migration/11]
root         65      2  0 Jan01 ?        00:04:07 [ksoftirqd/11]
root         67      2  0 Jan01 ?        00:00:00 [kworker/11:0H]
root         68      2  0 Jan01 ?        00:00:51 [watchdog/12]
root         69      2  0 Jan01 ?        00:00:12 [migration/12]
root         70      2  0 Jan01 ?        00:04:48 [ksoftirqd/12]
root         72      2  0 Jan01 ?        00:00:00 [kworker/12:0H]
root         73      2  0 Jan01 ?        00:00:57 [watchdog/13]
root         74      2  0 Jan01 ?        00:00:20 [migration/13]
root         75      2  0 Jan01 ?        00:04:12 [ksoftirqd/13]
root         77      2  0 Jan01 ?        00:00:00 [kworker/13:0H]
root         78      2  0 Jan01 ?        00:00:51 [watchdog/14]
root         79      2  0 Jan01 ?        00:00:13 [migration/14]
root         80      2  0 Jan01 ?        00:17:11 [ksoftirqd/14]
root         82      2  0 Jan01 ?        00:00:00 [kworker/14:0H]
root         83      2  0 Jan01 ?        00:00:56 [watchdog/15]
root         84      2  0 Jan01 ?        00:00:17 [migration/15]
root         85      2  0 Jan01 ?        00:04:10 [ksoftirqd/15]
root         87      2  0 Jan01 ?        00:00:00 [kworker/15:0H]
root         88      2  0 Jan01 ?        00:00:50 [watchdog/16]
root         89      2  0 Jan01 ?        00:00:08 [migration/16]
root         90      2  0 Jan01 ?        00:08:46 [ksoftirqd/16]
root         92      2  0 Jan01 ?        00:00:00 [kworker/16:0H]
root         93      2  0 Jan01 ?        00:00:51 [watchdog/17]
root         94      2  0 Jan01 ?        00:00:11 [migration/17]
root         95      2  0 Jan01 ?        00:01:42 [ksoftirqd/17]
root         97      2  0 Jan01 ?        00:00:00 [kworker/17:0H]
root         98      2  0 Jan01 ?        00:00:49 [watchdog/18]
root         99      2  0 Jan01 ?        00:01:08 [migration/18]
root        100      2  0 Jan01 ?        00:02:11 [ksoftirqd/18]
root        102      2  0 Jan01 ?        00:00:00 [kworker/18:0H]
root        103      2  0 Jan01 ?        00:00:51 [watchdog/19]
root        104      2  0 Jan01 ?        00:01:13 [migration/19]
root        105      2  0 Jan01 ?        00:01:42 [ksoftirqd/19]
root        107      2  0 Jan01 ?        00:00:00 [kworker/19:0H]
root        108      2  0 Jan01 ?        00:00:49 [watchdog/20]
root        109      2  0 Jan01 ?        00:00:26 [migration/20]
root        110      2  0 Jan01 ?        00:02:17 [ksoftirqd/20]
root        112      2  0 Jan01 ?        00:00:00 [kworker/20:0H]
root        113      2  0 Jan01 ?        00:00:51 [watchdog/21]
root        114      2  0 Jan01 ?        00:00:19 [migration/21]
root        115      2  0 Jan01 ?        00:01:54 [ksoftirqd/21]
root        117      2  0 Jan01 ?        00:00:00 [kworker/21:0H]
root        118      2  0 Jan01 ?        00:00:53 [watchdog/22]
root        119      2  0 Jan01 ?        00:00:17 [migration/22]
root        120      2  0 Jan01 ?        00:01:00 [ksoftirqd/22]
root        122      2  0 Jan01 ?        00:00:00 [kworker/22:0H]
